Data,ano,mes,dia_semana,dia,Qt_almoco,Qt_jantar
2016-01-04,2016,1,0,4,364,294
2016-01-05,2016,1,1,5,489,363
2016-01-06,2016,1,2,6,522,401
2016-01-07,2016,1,3,7,514,349
2016-01-08,2016,1,4,8,409,218
2016-01-11,2016,1,0,11,462,372
2016-01-12,2016,1,1,12,575,435
2016-01-13,2016,1,2,13,525,388
2016-01-14,2016,1,3,14,545,341
2016-01-15,2016,1,4,15,434,261
2016-01-18,2016,1,0,18,424,371
2016-01-19,2016,1,1,19,499,391
2016-01-20,2016,1,2,20,501,398
2016-01-21,2016,1,3,21,525,382
2016-01-22,2016,1,4,22,452,265
2016-01-25,2016,1,0,25,484,332
2016-01-26,2016,1,1,26,514,385
2016-01-27,2016,1,2,27,514,343
2016-01-28,2016,1,3,28,535,325
2016-01-29,2016,1,4,29,412,219
2016-02-01,2016,2,0,1,404,302
2016-02-02,2016,2,1,2,504,328
2016-02-03,2016,2,2,3,427,324
2016-02-04,2016,2,3,4,462,258
2016-02-05,2016,2,4,5,285,116
2016-02-11,2016,2,3,11,132,97
2016-02-12,2016,2,4,12,153,82
2016-02-15,2016,2,0,15,189,147
2016-02-16,2016,2,1,16,266,150
2016-02-17,2016,2,2,17,250,123
2016-02-18,2016,2,3,18,216,100
2016-02-19,2016,2,4,19,205,74
2016-03-14,2016,3,0,14,585,388
2016-03-15,2016,3,1,15,733,464
2016-03-16,2016,3,2,16,716,470
2016-03-17,2016,3,3,17,727,452
2016-03-18,2016,3,4,18,620,312
2016-03-21,2016,3,0,21,654,498
2016-03-22,2016,3,1,22,752,449
2016-03-23,2016,3,2,23,668,337
2016-03-28,2016,3,0,28,630,487
2016-03-29,2016,3,1,29,803,461
2016-03-30,2016,3,2,30,801,537
2016-03-31,2016,3,3,31,750,526
2016-04-01,2016,4,4,1,710,351
2016-04-04,2016,4,0,4,647,461
2016-04-05,2016,4,1,5,783,501
2016-04-06,2016,4,2,6,757,516
2016-04-07,2016,4,3,7,725,475
2016-04-08,2016,4,4,8,683,370
2016-04-11,2016,4,0,11,646,446
2016-04-12,2016,4,1,12,780,495
2016-04-13,2016,4,2,13,753,523
2016-04-14,2016,4,3,14,756,472
2016-04-15,2016,4,4,15,675,348
2016-04-18,2016,4,0,18,642,466
2016-04-19,2016,4,1,19,791,504
2016-04-20,2016,4,2,20,741,385
2016-04-22,2016,4,4,22,247,110
2016-04-25,2016,4,0,25,666,449
2016-04-26,2016,4,1,26,738,460
2016-04-27,2016,4,2,27,694,471
2016-04-28,2016,4,3,28,700,446
2016-04-29,2016,4,4,29,643,370
2016-05-02,2016,5,0,2,646,434
2016-05-03,2016,5,1,3,689,466
2016-05-04,2016,5,2,4,735,451
2016-05-05,2016,5,3,5,709,464
2016-05-06,2016,5,4,6,627,311
2016-05-09,2016,5,0,9,621,393
2016-05-10,2016,5,1,10,722,460
2016-05-11,2016,5,2,11,719,436
2016-05-12,2016,5,3,12,715,455
2016-05-13,2016,5,4,13,670,356
2016-05-16,2016,5,0,16,634,462
2016-05-17,2016,5,1,17,721,480
2016-05-18,2016,5,2,18,741,418
2016-05-19,2016,5,3,19,745,445
2016-05-20,2016,5,4,20,661,329
2016-05-23,2016,5,0,23,635,444
2016-05-24,2016,5,1,24,705,465
2016-05-25,2016,5,2,25,690,375
2016-05-27,2016,5,4,27,229,111
2016-05-30,2016,5,0,30,599,435
2016-05-31,2016,5,1,31,763,495
2016-06-01,2016,6,2,1,743,452
2016-06-02,2016,6,3,2,723,412
2016-06-03,2016,6,4,3,600,300
2016-06-06,2016,6,0,6,618,447
2016-06-07,2016,6,1,7,742,448
2016-06-08,2016,6,2,8,737,436
2016-06-09,2016,6,3,9,678,464
2016-06-10,2016,6,4,10,608,331
2016-06-13,2016,6,0,13,652,412
2016-06-14,2016,6,1,14,733,457
2016-06-15,2016,6,2,15,712,453
2016-06-16,2016,6,3,16,692,413
2016-06-17,2016,6,4,17,602,325
2016-06-20,2016,6,0,20,630,475
2016-06-21,2016,6,1,21,712,466
2016-06-22,2016,6,2,22,713,430
2016-06-23,2016,6,3,23,761,468
2016-06-24,2016,6,4,24,609,333
2016-06-27,2016,6,0,27,642,449
2016-06-28,2016,6,1,28,706,394
2016-06-29,2016,6,2,29,700,433
2016-06-30,2016,6,3,30,670,395
2016-07-01,2016,7,4,1,585,279
2016-07-04,2016,7,0,4,561,329
2016-07-06,2016,7,2,6,683,392
2016-07-07,2016,7,3,7,690,376
2016-07-08,2016,7,4,8,547,251
2016-07-11,2016,7,0,11,524,339
2016-07-12,2016,7,1,12,576,353
2016-07-13,2016,7,2,13,598,335
2016-07-14,2016,7,3,14,500,260
2016-07-15,2016,7,4,15,317,166
2016-07-18,2016,7,0,18,267,122
2016-07-19,2016,7,1,19,302,141
2016-07-20,2016,7,2,20,282,89
2016-07-21,2016,7,3,21,197,0
2016-07-22,2016,7,4,22,151,0
2016-07-25,2016,7,0,25,131,0
2016-07-26,2016,7,1,26,161,0
2016-07-27,2016,7,2,27,159,0
2016-07-28,2016,7,3,28,143,0
2016-07-29,2016,7,4,29,143,0
2016-08-01,2016,8,0,1,158,0
2016-08-02,2016,8,1,2,152,0
2016-08-03,2016,8,2,3,169,0
2016-08-04,2016,8,3,4,171,0
2016-08-05,2016,8,4,5,152,0
2016-08-08,2016,8,0,8,161,0
2016-08-09,2016,8,1,9,178,0
2016-08-10,2016,8,2,10,173,0
2016-08-11,2016,8,3,11,172,0
2016-08-12,2016,8,4,12,153,0
