,ano,mes,dia_semana,Qt_almoco,Qt_jantar,dia
0,2016,1,0,364,294,4
1,2016,1,1,489,363,5
2,2016,1,2,522,401,6
3,2016,1,3,514,349,7
4,2016,1,4,409,218,8
5,2016,1,0,462,372,11
6,2016,1,1,575,435,12
7,2016,1,2,525,388,13
8,2016,1,3,545,341,14
9,2016,1,4,434,261,15
10,2016,1,0,424,371,18
11,2016,1,1,499,391,19
12,2016,1,2,501,398,20
13,2016,1,3,525,382,21
14,2016,1,4,452,265,22
15,2016,1,0,484,332,25
16,2016,1,1,514,385,26
17,2016,1,2,514,343,27
18,2016,1,3,535,325,28
19,2016,1,4,412,219,29
20,2016,2,0,404,302,1
21,2016,2,1,504,328,2
22,2016,2,2,427,324,3
23,2016,2,3,462,258,4
24,2016,2,4,285,116,5
25,2016,2,3,132,97,11
26,2016,2,4,153,82,12
27,2016,2,0,189,147,15
28,2016,2,1,266,150,16
29,2016,2,2,250,123,17
30,2016,2,3,216,100,18
31,2016,2,4,205,74,19
32,2016,3,0,585,388,14
33,2016,3,1,733,464,15
34,2016,3,2,716,470,16
35,2016,3,3,727,452,17
36,2016,3,4,620,312,18
37,2016,3,0,654,498,21
38,2016,3,1,752,449,22
39,2016,3,2,668,337,23
40,2016,3,0,630,487,28
41,2016,3,1,803,461,29
42,2016,3,2,801,537,30
43,2016,3,3,750,526,31
44,2016,4,4,710,351,1
45,2016,4,0,647,461,4
46,2016,4,1,783,501,5
47,2016,4,2,757,516,6
48,2016,4,3,725,475,7
49,2016,4,4,683,370,8
50,2016,4,0,646,446,11
51,2016,4,1,780,495,12
52,2016,4,2,753,523,13
53,2016,4,3,756,472,14
54,2016,4,4,675,348,15
55,2016,4,0,642,466,18
56,2016,4,1,791,504,19
57,2016,4,2,741,385,20
58,2016,4,4,247,110,22
59,2016,4,0,666,449,25
60,2016,4,1,738,460,26
61,2016,4,2,694,471,27
62,2016,4,3,700,446,28
63,2016,4,4,643,370,29
64,2016,5,0,646,434,2
65,2016,5,1,689,466,3
66,2016,5,2,735,451,4
67,2016,5,3,709,464,5
68,2016,5,4,627,311,6
69,2016,5,0,621,393,9
70,2016,5,1,722,460,10
71,2016,5,2,719,436,11
72,2016,5,3,715,455,12
73,2016,5,4,670,356,13
74,2016,5,0,634,462,16
75,2016,5,1,721,480,17
76,2016,5,2,741,418,18
77,2016,5,3,745,445,19
78,2016,5,4,661,329,20
79,2016,5,0,635,444,23
80,2016,5,1,705,465,24
81,2016,5,2,690,375,25
82,2016,5,4,229,111,27
83,2016,5,0,599,435,30
84,2016,5,1,763,495,31
85,2016,6,2,743,452,1
86,2016,6,3,723,412,2
87,2016,6,4,600,300,3
88,2016,6,0,618,447,6
89,2016,6,1,742,448,7
90,2016,6,2,737,436,8
91,2016,6,3,678,464,9
92,2016,6,4,608,331,10
93,2016,6,0,652,412,13
94,2016,6,1,733,457,14
95,2016,6,2,712,453,15
96,2016,6,3,692,413,16
97,2016,6,4,602,325,17
98,2016,6,0,630,475,20
99,2016,6,1,712,466,21
100,2016,6,2,713,430,22
101,2016,6,3,761,468,23
102,2016,6,4,609,333,24
103,2016,6,0,642,449,27
104,2016,6,1,706,394,28
105,2016,6,2,700,433,29
106,2016,6,3,670,395,30
107,2016,7,4,585,279,1
108,2016,7,0,561,329,4
109,2016,7,2,683,392,6
110,2016,7,3,690,376,7
111,2016,7,4,547,251,8
112,2016,7,0,524,339,11
113,2016,7,1,576,353,12
114,2016,7,2,598,335,13
115,2016,7,3,500,260,14
116,2016,7,4,317,166,15
117,2016,7,0,267,122,18
118,2016,7,1,302,141,19
119,2016,7,2,282,89,20
120,2016,7,3,197,0,21
121,2016,7,4,151,0,22
122,2016,7,0,131,0,25
123,2016,7,1,161,0,26
124,2016,7,2,159,0,27
125,2016,7,3,143,0,28
126,2016,7,4,143,0,29
127,2016,8,0,158,0,1
128,2016,8,1,152,0,2
129,2016,8,2,169,0,3
130,2016,8,3,171,0,4
131,2016,8,4,152,0,5
132,2016,8,0,161,0,8
133,2016,8,1,178,0,9
134,2016,8,2,173,0,10
135,2016,8,3,172,0,11
136,2016,8,4,153,0,12
137,2016,8,0,267,0,15
138,2016,8,1,700,420,16
139,2016,8,2,688,431,17
140,2016,8,3,687,417,18
141,2016,8,4,540,284,19
142,2016,8,0,726,494,22
143,2016,8,1,791,469,23
144,2016,8,2,773,519,24
145,2016,8,3,804,465,25
146,2016,8,4,587,376,26
147,2016,8,0,733,519,29
148,2016,8,1,802,527,30
149,2016,8,2,791,551,31
150,2016,9,3,771,478,1
151,2016,9,4,553,347,2
152,2016,9,0,669,466,5
153,2016,9,1,729,468,6
154,2016,9,3,669,461,8
155,2016,9,4,504,276,9
156,2016,9,0,649,505,12
157,2016,9,1,776,537,13
158,2016,9,2,748,525,14
159,2016,9,3,741,408,15
160,2016,9,4,620,338,16
161,2016,9,0,673,513,19
162,2016,9,1,766,546,20
163,2016,9,2,749,536,21
164,2016,9,3,691,465,22
165,2016,9,4,576,335,23
166,2016,9,0,650,500,26
167,2016,9,1,731,531,27
168,2016,9,2,691,514,28
169,2016,9,3,573,379,29
170,2016,9,4,453,335,30
171,2016,10,0,438,321,3
172,2016,10,1,667,410,4
173,2016,10,2,689,473,5
174,2016,10,3,692,454,6
175,2016,10,4,575,403,7
176,2016,10,0,657,486,10
177,2016,10,1,719,453,11
178,2016,10,3,672,457,13
179,2016,10,4,579,322,14
180,2016,10,0,650,503,17
181,2016,10,1,743,509,18
182,2016,10,2,742,514,19
183,2016,10,3,727,450,20
184,2016,10,4,566,347,21
185,2016,10,0,521,436,24
186,2016,10,1,642,432,25
187,2016,10,2,628,400,26
188,2016,10,3,606,301,27
189,2016,10,0,639,374,31
190,2016,11,1,704,380,1
191,2016,11,3,409,302,3
192,2016,11,4,357,168,4
193,2016,11,0,618,446,7
194,2016,11,1,696,537,8
195,2016,11,2,710,461,9
196,2016,11,3,669,491,10
197,2016,11,4,529,284,11
198,2016,11,0,497,321,14
199,2016,11,2,654,458,16
200,2016,11,3,666,449,17
201,2016,11,4,523,295,18
202,2016,11,0,632,450,21
203,2016,11,1,679,489,22
204,2016,11,2,690,414,23
205,2016,11,3,641,440,24
206,2016,11,4,485,306,25
