dia,Data,ano,mes,dia_semana,Qt_almoco,Qt_jantar
0,2016-01-04,2016,1,0,364,294
1,2016-01-05,2016,1,1,489,363
2,2016-01-06,2016,1,2,522,401
3,2016-01-07,2016,1,3,514,349
4,2016-01-08,2016,1,4,409,218
5,2016-01-11,2016,1,0,462,372
6,2016-01-12,2016,1,1,575,435
7,2016-01-13,2016,1,2,525,388
8,2016-01-14,2016,1,3,545,341
9,2016-01-15,2016,1,4,434,261
10,2016-01-18,2016,1,0,424,371
11,2016-01-19,2016,1,1,499,391
12,2016-01-20,2016,1,2,501,398
13,2016-01-21,2016,1,3,525,382
14,2016-01-22,2016,1,4,452,265
15,2016-01-25,2016,1,0,484,332
16,2016-01-26,2016,1,1,514,385
17,2016-01-27,2016,1,2,514,343
18,2016-01-28,2016,1,3,535,325
19,2016-01-29,2016,1,4,412,219
20,2016-02-01,2016,2,0,404,302
21,2016-02-02,2016,2,1,504,328
22,2016-02-03,2016,2,2,427,324
23,2016-02-04,2016,2,3,462,258
24,2016-02-05,2016,2,4,285,116
25,2016-02-11,2016,2,3,132,97
26,2016-02-12,2016,2,4,153,82
27,2016-02-15,2016,2,0,189,147
28,2016-02-16,2016,2,1,266,150
29,2016-02-17,2016,2,2,250,123
30,2016-02-18,2016,2,3,216,100
31,2016-02-19,2016,2,4,205,74
32,2016-03-14,2016,3,0,585,388
33,2016-03-15,2016,3,1,733,464
34,2016-03-16,2016,3,2,716,470
35,2016-03-17,2016,3,3,727,452
36,2016-03-18,2016,3,4,620,312
37,2016-03-21,2016,3,0,654,498
38,2016-03-22,2016,3,1,752,449
39,2016-03-23,2016,3,2,668,337
40,2016-03-28,2016,3,0,630,487
41,2016-03-29,2016,3,1,803,461
42,2016-03-30,2016,3,2,801,537
43,2016-03-31,2016,3,3,750,526
44,2016-04-01,2016,4,4,710,351
45,2016-04-04,2016,4,0,647,461
46,2016-04-05,2016,4,1,783,501
47,2016-04-06,2016,4,2,757,516
48,2016-04-07,2016,4,3,725,475
49,2016-04-08,2016,4,4,683,370
50,2016-04-11,2016,4,0,646,446
51,2016-04-12,2016,4,1,780,495
52,2016-04-13,2016,4,2,753,523
53,2016-04-14,2016,4,3,756,472
54,2016-04-15,2016,4,4,675,348
55,2016-04-18,2016,4,0,642,466
56,2016-04-19,2016,4,1,791,504
57,2016-04-20,2016,4,2,741,385
58,2016-04-22,2016,4,4,247,110
59,2016-04-25,2016,4,0,666,449
60,2016-04-26,2016,4,1,738,460
61,2016-04-27,2016,4,2,694,471
62,2016-04-28,2016,4,3,700,446
63,2016-04-29,2016,4,4,643,370
64,2016-05-02,2016,5,0,646,434
65,2016-05-03,2016,5,1,689,466
66,2016-05-04,2016,5,2,735,451
67,2016-05-05,2016,5,3,709,464
68,2016-05-06,2016,5,4,627,311
69,2016-05-09,2016,5,0,621,393
70,2016-05-10,2016,5,1,722,460
71,2016-05-11,2016,5,2,719,436
72,2016-05-12,2016,5,3,715,455
73,2016-05-13,2016,5,4,670,356
74,2016-05-16,2016,5,0,634,462
75,2016-05-17,2016,5,1,721,480
76,2016-05-18,2016,5,2,741,418
77,2016-05-19,2016,5,3,745,445
78,2016-05-20,2016,5,4,661,329
79,2016-05-23,2016,5,0,635,444
80,2016-05-24,2016,5,1,705,465
81,2016-05-25,2016,5,2,690,375
82,2016-05-27,2016,5,4,229,111
83,2016-05-30,2016,5,0,599,435
84,2016-05-31,2016,5,1,763,495
85,2016-06-01,2016,6,2,743,452
86,2016-06-02,2016,6,3,723,412
87,2016-06-03,2016,6,4,600,300
88,2016-06-06,2016,6,0,618,447
89,2016-06-07,2016,6,1,742,448
90,2016-06-08,2016,6,2,737,436
91,2016-06-09,2016,6,3,678,464
92,2016-06-10,2016,6,4,608,331
93,2016-06-13,2016,6,0,652,412
94,2016-06-14,2016,6,1,733,457
95,2016-06-15,2016,6,2,712,453
96,2016-06-16,2016,6,3,692,413
97,2016-06-17,2016,6,4,602,325
98,2016-06-20,2016,6,0,630,475
99,2016-06-21,2016,6,1,712,466
100,2016-06-22,2016,6,2,713,430
101,2016-06-23,2016,6,3,761,468
102,2016-06-24,2016,6,4,609,333
103,2016-06-27,2016,6,0,642,449
104,2016-06-28,2016,6,1,706,394
105,2016-06-29,2016,6,2,700,433
106,2016-06-30,2016,6,3,670,395
107,2016-07-01,2016,7,4,585,279
108,2016-07-04,2016,7,0,561,329
109,2016-07-06,2016,7,2,683,392
110,2016-07-07,2016,7,3,690,376
111,2016-07-08,2016,7,4,547,251
112,2016-07-11,2016,7,0,524,339
113,2016-07-12,2016,7,1,576,353
114,2016-07-13,2016,7,2,598,335
115,2016-07-14,2016,7,3,500,260
116,2016-07-15,2016,7,4,317,166
117,2016-07-18,2016,7,0,267,122
118,2016-07-19,2016,7,1,302,141
119,2016-07-20,2016,7,2,282,89
120,2016-07-21,2016,7,3,197,0
121,2016-07-22,2016,7,4,151,0
122,2016-07-25,2016,7,0,131,0
123,2016-07-26,2016,7,1,161,0
124,2016-07-27,2016,7,2,159,0
125,2016-07-28,2016,7,3,143,0
